♠KT8♡J7643♢Q87♣42 ♠A53♡T52♢KT43♣Q85 ♠Q42♡K♢A96♣AKJT93 ♠J976♡AQ98♢J52♣76
♠K82♡A852♢T96♣842 ♠T654♡QJT4♢KJ5♣Q6 ♠AQ9♡93♢A3♣AKJT75 ♠J73♡K76♢Q8742♣93
♠KT2♡KQ9♢KT7♣9874 ♠QJ75♡J543♢AQ9♣Q3 ♠863♡T2♢62♣AKJT62 ♠A94♡A876♢J8543♣5
♠J875♡T54♢J52♣Q95 ♠A432♡K98732♢K7♣3 ♠♡Q♢AQT94♣AKJT872 ♠KQT96♡AJ6♢863♣64
♠K543♡KT43♢AKQT2♣ ♠Q72♡AQ6♢J98765♣8 ♠6♡J98♢4♣AKJT7543 ♠AJT98♡752♢3♣Q962
♠764♡AJ72♢Q2♣8732 ♠KT32♡9854♢K9864♣ ♠QJ85♡K♢75♣AKJT65 ♠A9♡QT63♢AJT3♣Q94
♠Q9432♡Q94♢T542♣4 ♠AJT5♡72♢A863♣Q96 ♠♡AT83♢J9♣AKJT872 ♠K876♡KJ65♢KQ7♣53
♠AKQ8♡K76♢AT76♣63 ♠J62♡9832♢Q32♣854 ♠5♡AQJ5♢J85♣AKJT7 ♠T9743♡T4♢K94♣Q92
♠K9♡AJ987♢Q93♣765 ♠AJT732♡43♢AK72♣9 ♠64♡T52♢4♣AKQJT32 ♠Q85♡KQ6♢JT865♣84
♠K842♡AJ874♢J♣852 ♠AQJT95♡T9♢62♣973 ♠3♡63♢AQ8543♣AKJT ♠76♡KQ52♢KT97♣Q64
♠KQ9743♡74♢Q85♣Q9 ♠♡Q965♢KJ962♣5432 ♠A6♡AJ82♢T74♣AKJT ♠JT852♡KT3♢A3♣876
♠Q96♡Q986♢Q9♣Q543 ♠T532♡T74♢A764♣62 ♠AJ84♡AJ♢J5♣AKJT7 ♠K7♡K532♢KT832♣98
♠8♡87♢AKJT6♣Q9872 ♠5♡KQT42♢Q87532♣4 ♠AQJ942♡93♢4♣AKJT ♠KT763♡AJ65♢9♣653
♠QT86♡KT92♢Q3♣842 ♠A752♡AJ75♢AJ98♣7 ♠♡63♢KT4♣AKJT9653 ♠KJ943♡Q84♢7652♣Q
♠K6432♡J64♢J♣9876 ♠QJ8♡T83♢Q5432♣53 ♠95♡A95♢A6♣AKQJT2 ♠AT7♡KQ72♢KT987♣4
♠T73♡Q75♢A8♣97543 ♠K862♡AK8♢KQ54♣Q8 ♠A9♡J62♢JT7♣AKJT6 ♠QJ54♡T943♢9632♣2
♠T6♡AKJ642♢QJ52♣9 ♠J732♡T3♢T7♣Q7653 ♠K98♡Q97♢6♣AKJT42 ♠AQ54♡85♢AK9843♣8
♠♡KT8743♢QT83♣Q63 ♠QJ643♡AJ2♢A52♣92 ♠A97♡Q95♢KJ♣AKJT5 ♠KT852♡6♢9764♣874
♠T8543♡K987♢K98♣6 ♠A97♡643♢Q74♣Q973 ♠Q6♡JT2♢T6♣AKJT42 ♠KJ2♡AQ5♢AJ532♣85
♠AK2♡J986♢J842♣94 ♠QT983♡T752♢T97♣7 ♠J7♡A3♢Q6♣AKJT852 ♠654♡KQ4♢AK53♣Q63
♠954♡A3♢T9842♣Q92 ♠T63♡J96♢Q75♣8654 ♠AJ82♡KT♢AK♣AKJT3 ♠KQ7♡Q87542♢J63♣7
♠A9764♡AQJ65♢T3♣8 ♠QT♡43♢AKQ98754♣6 ♠K532♡8♢J♣AKQJT52 ♠J8♡KT972♢62♣9743
